ship;flag;lenght;draft;navigation;arrival;notice;office;first_operation;second_operation;first_goods;second_goods;first_weight;second_weight;voyage;duv;priority;terminal;ship_type
COSCO PRINCE RUPERT;HONG KONG;334;11.8;Long;12/01/2024;;COSCO BRASIL S/A;EMB;DESC;CONTEINERES CHEIOS;CONTEINERES CHEIOS;3600;14400;5818--2023;579672023;B;TECON;CONTEINERES
MAERSK LAMANAI;DINAMARQUESA;300;9;Long;12/01/2024 08:00:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;DESC;CONTEINERES CHEIOS;CONTEINERES CHEIOS;1800;1800;5704-52023;550482023;B;B.T.P. 1;CONTEINERES
SAN LORENZO MAERSK;DINAMARQUESA;333;9;Long;13/01/2024 03:00:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;DESC;CONTEINERES CHEIOS;CONTEINERES CHEIOS;1800;1800;5819-72023;551132023;B;TECON;CONTEINERES
MEDITERRANEAN EXPRESS;SINGAPURENSE;250;7;Long;13/01/2024 10:00:00;;ROCHAMAR AGENCIA MARITIMA S/A;EMB;DESC;CONTEINERES CHEIOS;CONTEINERES CHEIOS;16956;486;5668-92023;567872023;B;TECON;CONTEINERES
NAVIOS DOMINO;LIBERIANA;261;12.3;Long;13/01/2024 13:00:00;;OCEAN NETWORK EXPRESS (LATIN AMERICA) AGENCIA MARITIMA LTDA;EMB;DESC;CONTEINERES CHEIOS;CONTEINERES CHEIOS;15300;1530;5327-72023;525132023;B;EPORT 1/TECON 1;CONTEINERES
MAERSK LOTA;DINAMARQUESA;300;9;Long;13/01/2024 14:00:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;DESC;CONTEINERES CHEIOS;CONTEINERES CHEIOS;1800;1800;5701-62023;550682023;B;B.T.P. 1;CONTEINERES
CAP SAN MALEAS;PANAMENHA;333;9;Long;14/01/2024 01:00:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;DESC;CONTEINERES CHEIOS;CONTEINERES CHEIOS;1800;1800;5815-12023;540022023;B;TECON;CONTEINERES
ATACAMA;LIBERIANA;300;9;Long;16/01/2024 08:00:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;DESC;CONTEINERES CHEIOS;CONTEINERES CHEIOS;1800;1800;5809-12023;550152023;B;B.T.P. 1;CONTEINERES
CAUQUENES;LIBERIANA;300;7;Long;16/01/2024 10:00:00;;ROCHAMAR AGENCIA MARITIMA S/A;EMB;DESC;CONTEINERES CHEIOS;CONTEINERES CHEIOS;1080;26226;5767-72023;573962023;B;B.T.P. 1;CONTEINERES
COSCO PRINCE RUPERT;HONG KONG;334;11.2;Long;19/01/2024;;COSCO BRASIL S/A;EMB;DESC;CONTEINERES CHEIOS;CONTEINERES CHEIOS;14400;1800;5813-92023;579782023;B;TECON;CONTEINERES
MAERSK LOTA;DINAMARQUESA;300;9;Long;19/01/2024 08:00:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;DESC;CONTEINERES CHEIOS;CONTEINERES CHEIOS;1800;1800;5703-92023;550752023;B;B.T.P. 1;CONTEINERES
MERIDIAN;SINGAPURENSE;189;9;Long;19/01/2024 08:00:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;DESC;CONTEINERES CHEIOS;CONTEINERES CHEIOS;1800;1800;5680-92023;550392023;B;TECON;CONTEINERES
PL GERMANY;SINGAPURENSE;281;9;Long;19/01/2024 20:50:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;DESC;CONTEINERES CHEIOS;CONTEINERES CHEIOS;1800;1800;5811-62023;551102023;B;B.T.P. 1;CONTEINERES
XIN NAN TONG;CHINESA;263;11.8;Long;20/01/2024;;COSCO BRASIL S/A;EMB;DESC;CONTEINERES CHEIOS;CONTEINERES CHEIOS;10800;1800;5824--2023;579852023;B;EPORT 1/TECON 1;CONTEINERES
BREMEN BELLE;SINGAPURENSE;281;9;Long;20/01/2024 02:00:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;DESC;CONTEINERES CHEIOS;CONTEINERES CHEIOS;1800;1800;5810-02023;550162023;B;B.T.P. 1;CONTEINERES
SAN MARCO MAERSK;DINAMARQUESA;333;9;Long;20/01/2024 03:00:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;DESC;CONTEINERES CHEIOS;CONTEINERES CHEIOS;1800;1800;5681-52023;551232023;B;TECON;CONTEINERES
MONTE OLIVIA;SINGAPURENSE;272;9;Long;20/01/2024 08:00:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;DESC;CONTEINERES CHEIOS;CONTEINERES CHEIOS;1800;1800;5682-12023;550942023;B;TECON;CONTEINERES
RDO ENDEAVOUR;LIBERIANA;285;13.1;Long;20/01/2024 13:00:00;;OCEAN NETWORK EXPRESS (LATIN AMERICA) AGENCIA MARITIMA LTDA;EMB;DESC;CONTEINERES CHEIOS;CONTEINERES CHEIOS;15300;1530;5800-42023;579882023;B;EPORT 1/TECON 1;CONTEINERES
MONTE CERVANTES (AO);SINGAPURENSE;272;9;Long;24/01/2024 02:00:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;DESC;CONTEINERES CHEIOS;CONTEINERES CHEIOS;1800;1800;5684-42023;550822023;B;TECON;CONTEINERES
